Timestamp,EX1_FAN_IN_RH_ITL_ETL,EX1_FAN_IN_TEMP_ITL_ETL,EX1_FAN_OUT_RH_ITL_ETL,EX1_FAN_OUT_TEMP_ITL_ETL,FA1_FAN_IN_RH_ITL_ETL,FA1_FAN_IN_TEMP_ITL_ETL,FA1_FAN_OUT_RH_ITL_ETL,FA1_FAN_OUT_TEMP_ITL_ETL,class
21-03-2018 05:06:00,50.9,27.72,44.96,32.95,39.17,32.29,44.83,32.12,5
21-03-2018 05:05:00,51.14,27.58,45.03,32.84,39.17,32.14,44.81,32.02,5
21-03-2018 05:04:00,51.44,27.34,44.93,32.6,39.17,32.09,44.78,32.06,5
21-03-2018 05:03:00,51.92,27.02,44.93,32.04,39.1,32.23,44.88,32.12,5
21-03-2018 05:02:00,52.16,26.7,44.86,32.48,39.14,32.16,44.85,32.05,5
21-03-2018 05:01:00,52.55,26.36,44.83,32.76,39.03,32.17,44.92,32.11,5
21-03-2018 05:00:00,53.02,26.09,44.86,32.8,39.17,32.32,44.92,32.19,5
21-03-2018 04:59:00,53.61,25.77,44.79,32.53,39.06,32.11,44.88,31.99,5
21-03-2018 04:58:00,54.14,25.38,44.72,32.51,39.06,32.08,44.88,31.99,5
21-03-2018 04:57:00,54.79,24.73,44.58,32.77,38.72,32.33,44.85,31.99,5
21-03-2018 04:56:00,54.59,23.48,44.59,32.81,38.72,32.3,44.78,31.91,5
21-03-2018 04:55:00,52.59,24.03,44.54,32.56,38.75,32.23,44.44,32.05,5
21-03-2018 04:54:00,50.41,24.25,44.24,32.7,38.52,32.22,44.03,31.98,5
21-03-2018 04:53:00,49.09,24.59,44.2,32.75,38.45,32.48,43.85,32.2,5
21-03-2018 04:52:00,48.78,24.66,44.03,32.96,38.23,32.47,43.75,32.14,5
21-03-2018 04:51:00,48.53,25.27,44.27,32.56,38.49,32.57,43.92,32.22,5
21-03-2018 04:50:00,48.31,25.87,44.31,32.71,38.52,32.55,43.89,32.05,5
