Timestamp,EX1_FAN_IN_RH_ITL,EX1_FAN_OUT_RH_ITL,FA1_FAN_IN_RH_ITL,FA1_FAN_OUT_RH_ITL,class
19-03-2018 16:27:00,50.82,47.15,34.84,40.66,2
19-03-2018 16:28:00,51.4,47.65,35.21,40.98,2
19-03-2018 16:29:00,52.96,48.8,35.01,41.06,2
19-03-2018 16:30:00,55,50.47,35.18,41.36,2
19-03-2018 16:31:00,56.42,51.73,35.42,41.67,2
19-03-2018 16:32:00,56.68,52.11,35.59,41.78,2
19-03-2018 16:33:00,56.28,52.03,35.57,42.04,2
19-03-2018 16:34:00,53.48,51.14,35.6,41.9,2
19-03-2018 16:35:00,50.98,49.09,35.66,41.74,2
19-03-2018 16:36:00,49.57,47.99,35.84,41.84,2
19-03-2018 16:37:00,48.61,47.19,35.86,41.83,2
19-03-2018 16:38:00,48.06,46.6,35.99,41.68,2
19-03-2018 16:39:00,47.44,46.19,36.11,41.71,2
19-03-2018 16:40:00,46.96,45.83,36.13,41.68,2
19-03-2018 16:41:00,46.47,45.39,36.01,41.43,2
19-03-2018 16:42:00,46.23,45.15,36.06,41.46,2
19-03-2018 16:43:00,45.93,44.87,35.63,41.26,2
19-03-2018 16:44:00,45.72,44.65,35.94,41.33,2
19-03-2018 16:45:00,45.61,44.58,36.04,41.39,2
19-03-2018 16:46:00,45.57,44.58,36.06,41.43,2
19-03-2018 16:47:00,45.64,44.54,36.23,41.49,2
19-03-2018 16:48:00,45.57,44.57,36.53,41.69,2
19-03-2018 16:49:00,45.63,44.6,36.64,41.79,2
19-03-2018 16:50:00,45.66,44.64,36.78,41.9,2
19-03-2018 16:51:00,45.7,44.69,36.82,41.96,2
19-03-2018 16:52:00,45.46,44.42,36.79,41.86,2
19-03-2018 16:53:00,45.49,44.49,36.92,41.9,2
19-03-2018 16:54:00,45.56,44.62,36.99,42,2
19-03-2018 16:55:00,45.77,44.59,37.12,42.13,2
19-03-2018 16:56:00,47.09,45.19,37.09,42.18,2
19-03-2018 16:57:00,48.26,45.9,36.92,42.07,2
19-03-2018 16:58:00,49.54,46.7,37.02,42.26,2
19-03-2018 16:59:00,50.59,47.41,36.76,42.16,2
19-03-2018 17:00:00,51.57,48.17,36.8,42.3,2
19-03-2018 17:01:00,52.48,48.89,36.79,42.42,2
19-03-2018 17:02:00,53.42,49.67,36.92,42.65,2
19-03-2018 17:03:00,54.2,50.35,36.92,42.79,2
19-03-2018 17:04:00,55.58,51.37,37.06,42.93,2
19-03-2018 17:05:00,57.32,52.64,36.9,43.03,2
19-03-2018 17:06:00,58.08,53.34,36.9,43.12,2
19-03-2018 17:07:00,57.55,53.2,36.97,43.22,2
19-03-2018 17:08:00,57.16,53.03,37.11,43.32,2
19-03-2018 17:09:00,56.39,52.73,36.68,43.09,2
19-03-2018 17:10:00,52.71,50.98,36.78,42.85,2
19-03-2018 17:11:00,51.06,49.41,36.95,42.81,2
19-03-2018 17:12:00,49.99,48.52,37.12,42.84,2
19-03-2018 17:13:00,49.24,47.86,36.95,42.66,2
19-03-2018 17:14:00,48.32,47.11,36.78,42.42,2
19-03-2018 17:15:00,47.94,46.72,36.78,42.38,2
19-03-2018 17:16:00,47.7,46.44,36.95,42.4,2
19-03-2018 17:17:00,47.15,46.06,36.92,42.3,2
19-03-2018 17:18:00,46.94,45.79,36.47,42,2
19-03-2018 17:19:00,46.5,45.44,36.61,41.97,2
19-03-2018 17:20:00,46.43,45.34,36.78,42.03,2
19-03-2018 17:21:00,46.28,45.26,36.92,42.13,2
19-03-2018 17:22:00,46.19,45.16,36.88,42.09,2
19-03-2018 17:23:00,46.08,45.12,37.05,42.19,2
19-03-2018 17:24:00,46.07,45.12,37.22,42.32,2
19-03-2018 17:25:00,46.07,45.05,37.21,42.32,2
19-03-2018 17:26:00,46.67,45.15,36.92,42.25,2
19-03-2018 17:27:00,47.84,45.82,37.34,42.36,2
19-03-2018 17:28:00,48.72,46.29,37.24,42.4,2
19-03-2018 17:29:00,49.35,46.69,37.24,42.4,2
19-03-2018 17:30:00,49.94,47.05,37.31,42.55,2
19-03-2018 17:31:00,50.72,47.58,37.43,42.7,2
19-03-2018 17:32:00,51.31,48.06,37.27,42.63,2
19-03-2018 17:33:00,52.11,48.7,37.44,42.81,2
19-03-2018 17:34:00,54.15,50.18,37.33,43,2
19-03-2018 17:35:00,56.77,52.17,37.21,43.23,2
19-03-2018 17:36:00,58.61,53.61,37.37,43.43,2
19-03-2018 17:37:00,59.57,54.49,37.4,43.67,2
19-03-2018 17:38:00,59.57,54.76,37.49,43.78,2
19-03-2018 17:39:00,55.08,52.79,37.28,43.51,2
19-03-2018 17:40:00,52.5,50.77,37.33,43.31,2
19-03-2018 17:41:00,51.17,49.54,37.11,43.03,2
19-03-2018 17:42:00,50.09,48.58,37.25,43,2
19-03-2018 17:43:00,49.37,48,37.42,42.95,2
19-03-2018 17:44:00,48.66,47.38,37.15,42.68,2
19-03-2018 17:45:00,48.18,46.96,37.18,42.68,2
19-03-2018 17:46:00,47.87,46.65,37.15,42.6,2
19-03-2018 17:47:00,47.56,46.35,37.18,42.49,2
19-03-2018 17:48:00,47.28,46.16,37.35,42.56,2
19-03-2018 17:49:00,47.11,45.95,37.28,42.46,2
19-03-2018 17:50:00,46.8,45.75,37.23,42.39,2
19-03-2018 17:51:00,46.63,45.51,37.05,42.26,2
19-03-2018 17:52:00,46.26,45.2,36.88,42.02,2
19-03-2018 17:53:00,46.22,45.22,37.02,42.16,2
19-03-2018 17:54:00,46.28,45.16,37.02,42.16,2
19-03-2018 17:55:00,46.02,45.03,36.92,42.02,2
19-03-2018 17:56:00,46.02,44.99,37.02,42.12,2
19-03-2018 17:57:00,46.02,44.96,37.06,42.12,2
19-03-2018 17:58:00,45.97,44.98,37.06,42.14,2
19-03-2018 17:59:00,46.48,45.12,37.05,42.18,2
19-03-2018 18:00:00,48.14,46.02,37.06,42.23,2
19-03-2018 18:01:00,49.74,46.96,36.92,42.26,2
19-03-2018 18:02:00,51,47.82,36.99,42.39,2
19-03-2018 18:03:00,51.83,48.46,36.91,42.41,2
19-03-2018 18:04:00,52.45,49.01,36.82,42.41,2
19-03-2018 18:05:00,53.01,49.46,37.09,42.69,2
19-03-2018 18:06:00,53.53,49.91,37.09,42.73,2
19-03-2018 18:07:00,54.07,50.33,37.27,42.9,2
19-03-2018 18:08:00,55.2,51.26,37.38,43.05,2
19-03-2018 18:09:00,56.77,52.35,37.34,43.29,2
19-03-2018 18:10:00,0,52.7,37.3,43.35,2
19-03-2018 18:11:00,56.65,52.62,37.41,43.39,2
19-03-2018 18:12:00,56.31,52.53,37.51,43.46,2
19-03-2018 18:13:00,55.11,52.2,37.51,43.46,2
19-03-2018 18:14:00,52.21,50.51,37.62,43.48,2
19-03-2018 18:15:00,50.85,49.31,37.72,43.35,2
19-03-2018 18:16:00,49.89,48.53,37.92,43.37,2
19-03-2018 18:17:00,49.15,47.93,38.02,43.37,2
19-03-2018 18:18:00,48.76,47.52,38.24,43.44,2
19-03-2018 18:19:00,48.32,47.18,38.44,43.51,2
19-03-2018 18:20:00,48.04,46.93,38.58,43.58,2
19-03-2018 18:21:00,47.77,46.72,38.58,43.53,2
19-03-2018 18:22:00,47.56,46.54,38.58,43.53,2
19-03-2018 18:23:00,47.38,46.37,38.82,43.53,2
19-03-2018 18:24:00,47.28,46.26,38.94,43.67,2
19-03-2018 18:25:00,47.21,46.22,39.06,43.74,2
19-03-2018 18:26:00,47.08,46.12,39.05,43.74,2
19-03-2018 18:27:00,47.04,46.06,39.05,43.8,2
19-03-2018 18:28:00,46.96,46.05,39.17,43.74,2
